# Verified stock disassembly; regenerate with tools/sonic_disassembly.py
00C9CC,SSRC_Flash,
00C9E2,SSRC_Display,
00CE28,Spikes,
00CE46,Spik_Main,
00CE90,Spik_Solid,
00CEAC,Spik_SideWays,
00CECC,Spik_Upright,
00CEF2,Spik_Hurt,
00CF22,Spik_Display,
00CF46,Spik_Type0x,
00CF5C,Spik_Type00,
00CF5E,Spik_Type01,
00CF72,Spik_Type02,
00CF86,Spik_Wait,
00D050,PurpleRock,
00D062,Rock_Main,
00D086,Rock_Solid,
00D0BE,WaterSound,
00D0D0,WSnd_Main,
00D0DA,WSnd_PlaySnd,
00D0EE,WSnd_ChkDel,
00D11C,SmashWall,
00D134,Smash_Main,
00D15E,Smash_Solid,
00D1D6,Smash_FragMove,
00D1EE,SmashObject,
00D338,ExecuteObjects,
00D5B2,NullObject,ObjectFall
00D5DE,SpeedToPos,
00D604,DisplaySprite,
00D620,DSpr_Full,
00D622,DisplaySprite2,
00D63E,DSpr2_Full,
00D640,DeleteObject,
00D642,DeleteChild,
00D646,DelObj_Loop,
00D65E,BuildSprites,
00D750,BuildSpr_Draw,
00D762,BuildSpr_Normal,
00D796,BuildSpr_FlipX,
00D7E4,BuildSpr_FlipY,
00D82A,BuildSpr_FlipXY,
00D87E,ChkObjectVisible,
00D8A6,ChkPartiallyVisible,
00D8DA,ObjPosLoad,
00D8EC,OPL_Main,
00D924,OPL_ClrList,
00D980,OPL_Next,
00DA50,OPL_MakeItem,
00DA8C,FindFreeObj,
00DA94,FFree_Loop,
00DAA0,FFree_Found,
00DAA2,FindNextFreeObj,
00DAB0,NFree_Loop,
00DABC,NFree_Found,
00DABE,Springs,
00DB08,Spring_Main,
00DB54,Spring_NotLR,
00DB66,Spring_NotDwn,
00DB7E,Spring_Up,
00DB9A,Spring_BounceUp,
00DBD4,Spring_AniUp,
00DBDE,Spring_ResetUp,
00DBEA,Spring_LR,
00DC16,Spring_BounceLR,
00DC36,Spring_Flipped,
00DC6C,Spring_AniLR,
00DC76,Spring_ResetLR,
00DC82,Spring_Dwn,
00DCB0,Spring_BounceDwn,
00DCE8,Spring_AniDwn,
00DCF2,Spring_ResetDwn,
00DD68,Newtron,
00DD7C,Newt_Main,
00DDAC,Newt_Action,
00DF16,Newt_Delete,
00DFFA,Roller,
00E00C,Roll_Main,
00E054,Roll_Action,
00E08E,Roll_ChkGone,
00E0A0,Roll_Delete,
00E0AC,Roll_RollChk,
00E0D6,Roll_RollNoChk,
00E0FE,Roll_ChkJump,
00E11C,Roll_Jump,
00E130,Roll_MatchFloor,
00E152,Roll_Stop,
00E1D4,EdgeWalls,
00E1E8,Edge_Main,
00E220,Edge_Solid,
00E22C,Edge_Display,
00E296,LavaMaker,
00E2B2,LavaM_Main,
00E2D2,LavaM_MakeLava,
00E302,LavaM_Wait,
00E304,LavaBall,
00E32E,LBall_Main,
00E3BA,LBall_Action,
00E3D8,LBall_ChkDel,
00E40A,LBall_Type00,
00E432,LBall_Type04,
00E454,LBall_Type05,
00E476,LBall_Type06,
00E49A,LBall_Type07,
00E4BE,LBall_Type08,
00E4C0,LBall_Delete,
00E4E0,Flamethrower,
00E4F2,Flame_Main,
00E556,Flame_Action,
00E59A,Flame_ChkDel,
00E7D0,MarbleBrick,
00E7E2,Brick_Main,
00E81E,Brick_Action,
00E87A,Brick_Type00,
00E87C,Brick_Type02,
00E894,Brick_Type01,
00E8B4,Brick_Type03,
